######################################################################  Penguins
Priceless HS Penguins,PNG
QB,Aphran Aaron,23,2014,61,51,54,53,56,60,8.5,3
WR,Pablo Diaz,22,2015,73,64,59,63,75,71,7.2,3
WR,Tom Conneticuit,31,2008,69,60,61,62,71,68,3.4,1
WR,Wale Floral,33,2008,66,70,60,54,70,66,3.9,1
WR,Samuel Paple,34,2007,70,61,60,48,60,67,4.6,2
WR,Blue Purlple,28,2010,63,60,48,60,55,67,6.9,3
WR,Bob Bee,30,2009,70,54,44,50,62,66,2.1,1
OL,Thomas Hattington,29,2010,65,59,70,71,60,70,4.6,2
OL,Billy Reshard,31,2009,70,61,44,68,63,69,2.1,1
OL,Jeremy Johnson,27,2012,63,70,50,67,64,71,2.1,1
OL,Donald Washington,24,2013,74,60,55,60,58,66,8.4,3
OL,Anthony Lewis,22,2015,71,68,41,60,49,65,2.6,1
OL,Shameek Falaunt,24,2014,67,60,66,70,40,50,4.5,2
OL,Stephon Gids,26,2012,63,66,54,61,60,55,1.7,1
OL,Carl Gids,22,2015,65,42,38,50,48,37,2.1,2
OL,Zachary Gids,25,2012,60,41,50,44,42,39,3.3,3
OL,Pluto Malaki,25,2013,55,37,41,49,60,29,1.1,2
K,Horus Temith,27,2011,70,69,70,68,70,54,2.8,2
K,Joshua Humprees,22,2015,64,68,54,50,55,60,1.2,1
S,Tyler Should,22,2015,67,66,54,80,72,68,3.6,2
S,Bulic Deondre,25,2012,65,60,49,67,57,63,4.9,3
CB,Cryon Prince,23,2014,71,66,54,49,62,44,7.8,4
CB,Lithington Cattlebred,24,2013,50,60,37,52,40,55,6.9,3
CB,Jonavan Tissue,25,2014,65,70,66,41,38,50,3.7,2
CB,Greg Demo,27,2012,49,45,73,64,68,70,2.3,1
CB,Dorish Dude,26,2013,50,60,37,52,40,55,1.6,1
CB,Sanderson Nissan,21,2015,60,28,32,39,41,50,1.9,2
DL,Wilson Hundai,28,2010,68,79,60,72,60,44,3.2,1
DL,Josh Fort,32,2007,70,67,64,63,70,61,4.9,2
DL,Alex Sporty,31,2008,66,70,61,63,70,64,66,2.2,1
DL,Deshawn Wikerson,30,2008,65,63,61,68,50,55,6.7,3
DL,Danny Patherson,32,2009,60,70,50,49,60,59,8,5
DL,Donda Laughter,33,2006,58,60,63,41,48,62,1.7,1
DL,Missiyon Cole,34,2005,60,57,60,39,40,58,1.6,1
DL,Darco Silk,27,2013,60,62,44,40,32,48,2.1,3
LB,Jack Jet,32,2008,66,67,69,74,68,66,3.1,1
LB,Ross Bishop,28,2012,68,72,71,68,70,50,4.9,2
LB,Peter DuBoise,26,2013,70,71,60,57,60,63,6.8,3
LB,Bruce Jordan,24,2013,61,49,58,70,66,42,4.5,2
LB,Philp Thorton,25,2013,62,59,60,72,60,38,1.8,1
LB,Tod Little,21,2015,63,70,64,50,49,40,4.9,3
LB,Isiah Ezekiel,23,2015,60,50,48,44,50,40,2.7,2
LB,Troy Deuteronomy,26,2012,62,60,44,38,22,54,1.2,1
END_PLAYERS
######################################################################  Boots
Sr. Chop Shop Carl HS Boots,SCB
QB,Trey Ashting,27,2011,68,72,66,70,69,69,3.2,1
QB,Jackie Christmas,25,2012,70,65,70,66,63,40,5.9,2
RB,Jovan Kennidy,21,2015,65,68,50,70,58,60,6.7,3
RB,Louis Quish,28,2009,68,59,60,68,60,53,7,4
RB,Gill Houston,32,2006 64,60,43,62,53,48,2.9,2
RB,Ryan Sim,33,2005,49,60,48,53,54,49,1,2
WR,Kaleb Bash,32,2006,72,68,69,73,68,83,4.1,1
WR,Corey Mountain,30,2009,70,66,60,71,66,59,3.7,1
WR,Darry Nathaniel,29,2010,69,70,60,68,60,49,6.5,3
WR,Bale Walnut,31,2008,60,72,55,63,67,56,4.7,2
WR,Qlem Craig,25,2011,58,60,49,60,44,60,3.9,2
WR,Gunner Richardson,26,2011,58,60,49,60,44,60,4.8,3
OL,Jose Fisted,27,2009,63,66,58,53,69,72,4.5,1
OL,Lawrence Ricardo,24,2014,65,60,49,60,63,60,3.5,1
OL,Bryant Pibbles,31,2008,68,59,60,49,60,58,4.9,1
OL,Cat Delay,33,2006,67,66,50,58,40,39,5,1
OL,Manuel Star,27,2010,62,60,40,44,37,60,7,3
OL,Timothy Luster,25,2012,59,60,45,60,57,48,8,4
OL,Orlando Disap,27,2010,66,41,37,60,29,32,7.3,4
OL,Ethan Lilien,28,2009,60,50,21,32,60,24,2.3,2
OL,Zachary Corster,22,2015,50,62,28,30,24,37,1.1,1
OL,Patrick Harrison,23,2014,48,37,60,54,53,52,1,2
K,Donatella Auna,24,2013,59,52,61,56,68,39,4,3
K,Aristicrap Finnigan,25,2013,68,32,60,48,50,31,1,2
S,Mark Jacob,26,2013,61,58,49,65,60,44,3.2,1
S,Sean Clock,27,2012,58,61,44,61,49,32,5.8,2
CB,Karma Anderson,31,2009,60,71,50,48,69,44,2.9,1
CB,Count Devoieh,28,2011,62,70,39,42,72,38,4.7,2
CB,Quinton Liemon,29,2010,49,69,44,53,62,50,4.3,2
CB,Chad Wick,33,2007,60,58,60,44,48,39,2.2,1
CB,Triston James,34,2006,60,44,33,41,60,28,3.9,2
CB,Brett Semi,32,2005,61,43,39,28,70,18,1.3,1
OL,Brad Pegion,34,2004,66,61,62,65,58,67,5.1,2
OL,Carlos Logan,30,2009,60,68,60,60,62,49,12.1,5
OL,Daniel Savings,27,2011,60,70,51,61,60,50,6.9,3
OL,Lincoln Washington,22,2015,54,64,48,44,54,44,6.7,3
OL,Benjamin Grant,24,2013,70,62,40,50,38,51,4.3,2
OL,Jackson Jefferson,26,2012,58,63,60,49,29,48,2.1,1
OL,Kennedy Roosevelt,28,2010,65,55,45,55,52,50,1.8,2
OL,Tony Glass,22,2015,62,48,40,37,30,29,4.9,5
LB,Chiles Floorswept,25,2013,60,37,29,40,27,30,12.6,5
LB,Ivy Pattern,24,2014,66,61,77,68,70,66,3.9,1
LB,Charles Brick,23,2015,68,72,61,50,60,70,3.7,1
LB,Shaun Ginthic,22,2015,72,60,55,41,61,63,8.4,3
LB,Popty Art,23,2014,74,51,49,38,64,38,3,2
LB,Gush Gina,25,2013,30,48,60,29,61,40,2,2
LB,Comrad Chuckie,26,2011,51,60,44,18,60,39,1,2
END_PLAYERS
######################################################################  Palace 
Pussy Cat HS Palace,PCP 
QB,Cold Finace,27,2011,63,54,68,71,59,69,6.9,4
QB,Fet Bletch,28,2010,61,58,49,60,58,66,4.8,3
QB,Joey Kit,22,2015,66,87,30,44,50,43,5,4
RB,Caldrin Belmont,24,2013,60,75,48,66,69,74,10.5,4
RB,Terry Jefthrow,31,2009,60,59,51,73,66,61,3.9,2
RB,Katheneth Guy,32,2008,57,69,48,65,66,70,2,1
RB,Laser Boron,29,2011,60,71,62,48,60,58,3.1,2
WR,Will Smith,21,2015,70,74,68,59,75,66,9.6,3
WR,Lenny Tyson,28,2010,68,72,65,60,70,61,2.8,1
WR,Tubbard Lilion,29,2009,66,65,54,50,48,60,4.2,2
WR,Tyson Jay,33,2006,49,60,54,42,61,44,1.9,1
WR,Jaden Mislow,23,2015,61,55,48,40,63,38,2.2,2
WR,Jet Eye,24,2014,60,29,45,60,33,40,3,4
OL,Push Sam,27,2010,65,66,70,77,80,78,12.7,4
OL,Tomroy Kent,31,2007,55,60,61,70,68,77,5.6,2
OL,Earl Sent,32,2005,60,61,55,68,71,66,2.4,1
OL,Patient Plum,32,2003,50,69,40,61,66,60,1.9,1
OL,Sion Simba,30,2005,44,49,40,70,60,55,3.8,2
OL,Kendrick Drew,29,2009,60,50,33,58,59,60,5.9,4
OL,Math Work,22,2015,63,54,55,48,60,54,3.7,3
OL,Giovany Light,27,2008,70,50,48,37,60,41,2.5,2
OL,Michon Piddle,24,2013,60,48,20,30,44,28,1.3,1
K,Emerson Flame,31,2006,48,60,30,25,20,31,4.8,3
K,Fernando Collens,31,2009,50,61,48,51,66,58,2.1,2
K,Brasser Chillion,27,2011,60,48,44,50,61,40,1.1,3
S,Trent Cole,25,2013,60,66,51,61,53,63,2.8,2
S,Donte Farshot,26,2012,58,54,48,60,61,1.3,1
CB,Jay Kist,27,2011,54,60,54,66,47,55,4.4,3
CB,Perry Atlis,28,2010,65,45,48,48,37,60,8.0,5
CB,Sonet St Mongomer,31,2008,63,40,37,31,38,40,2.2,1
CB,Robert Joel,33,2006,40,61,51,33,38,45,1.8,1
CB,Jonathan Terriar,34,2005,60,38,29,30,40,37,1.6,1
CB,Michigan Gains,27,2009,68,25,30,48,37,60,3.3,3
DL,Tyler James,22,2015,64,58,60,55,60,66,4.7,2
DL,Dustin Hall,28,2009,66,38,42,56,32,60,6.9,3
DL,Justin Vaise,32,2007,61,45,45,30,60,50,2.5,1
DL,Paul Gabs,29,2010,60,54,45,38,30,29,3.4,2
DL,Ethan Jab,27,2012,59,45,40,38,27,30,6.8,4
DL,Tony McBeth,33,2005,50,45,40,38,41,30,1.6,1
DL,Morgan Pie,31,2008,63,40,37,41,28,30,3.2,3
DL,Ganion Kite,29,2011,61,60,40,29,22,30,4.8,5
LB,Timmy Jorge,32,2007,60,65,48,72,46,78,5.3,2
LB,Craig Bic,25,2012,68,57,60,64,50,67,6.9,3
LB,Harold Stan,28,2009,60,49,50,66,44,69,2.2,1
LB,Pillion Taco,27,2010,58,37,44,29,30,40,5.6,3
LB,Quincy Tongue,22,2015,60,29,30,27,50,45,1.9,1
LB,Richard Grint,25,2012,50,48,37,29,30,20,1.2,1
LB,Drake Tree,26,2011,54,43,37,33,22,20,15,1,1
END_PLAYERS
######################################################################  Cardinals
St.John HS Cardinals,SJC
QB,Adam Florida,27,2012,70,68,54,59,73,70,13,4
QB,Dick Handle,21,2015,71,73,61,63,68,69,6.8,2
RB,Genthro Cassidy,31,2009,77,68,75,69,60,66,6,2
RB,Kant Plight,34,2006,75,65,68,71,63,70,1.9,1
RB,Camal Simon,27,2012,70,66,71,64,65,66,6.9,3
RB,Preach Deckaro,22,2015,68,73,64,70,71,54,4.9,3
RB,Shimmy Sheen,23,2014,67,71,59,68,58,60,3.1,2
WR,Jimmy Tie,27,2011,65,67,71,50,64,65,4.7,2
WR,Hue Gene,28,2010,72,55,61,48,59,55,6.7,3
WR,Gald MaxWell,22,2015,60,60,53,50,44,38,3.8,2
WR,David King,24,2013,58,45,48,41,38,50,2.9,4
WR,Obed Exodus,26,2011,49,51,52,51,37,29,1.9,3
WR,Muhamed X,25,2013,61,28 40,35,40,44,1,2
WR,Carl Finn,22,2015,63,20,50,38,29,30,1,3
OL,Prey Soilder,28,2011,74,59,72,70,75,68,6.2,2
OL,Cam Vick,32,2005,72,65,60,65,67,63,2.8,1
OL,Julios Pent,28,2010,69,45,55,68,60,59,6.9,3
OL,Arnest Torranian,29,2009,68,53,48,70,49,66,2.5,1
OL,Cyco Dit,31,2006,65,59,39,60,50,55,1.9,1
OL,Massacus Dan,32,2006,73,60,40,50,48,30,3.6,2
OL,Clameron Jenkins,30,2007,68,70,30,45,20,33,3.4,2
OL,Andre Dedly,30,2008,65,38,28,46,30,30,4.7,3
OL,Frank Castle,32,2006,71,21,45,41,28,30,2.4,1
OL,Carl Juliony,28,2009,70,50,41,26,29,30,4.9,4
K,Koliu White,27,2010,61,57,47,57,65,66,1.9,2
K,Diego Swish,23,2015,56,38,45,55,60,50,1.1,3
S,Kobe Anthony,24,2014,60,54,48,58,49,65,3.3,2
S,Carson Soul,26,2012,49,50,66,39,31,58,2.8,2
CB,Bas Moon,25,2013,60,55,57,40,38,67,9.8,3
CB,Rob Smith,26,2012,55,60,38,45,47,55,7.2,2
CB,Ronald John,22,2015,56,55,60,26,30,57,5.9,2
CB,Landon Jason,25,2013,70,51,39,20,25,60,14.9,6
CB,Larry Gore,26,2012,28,42,33,34,27,22,1.4,3
CB,Tip Tippy,28,2010,32,21,29,31,27,17,1,3
DL,Arnold Chain,32,2006,66,58,47,69,67,51,9.2,3
DL,Bush Plant,33,2007,60,55,45,61,56,40,3.4,1
DL,Joey Fance,31,2007,63,46,37,60,50,39,6.9,2
DL,Doug Tree,29,2010,61,41,50,45,39,29,7.9,4
DL,Ned Sick,27,2011,50,48,37,40,30,41,5,3
DL,Bart Simees,22,2015,48,44,32,37,40,42,2.2,2
DL,Ogee House,25,2012,58,32,31,27,28,13,1.8,2
DL,Bat Lion,26,2011,45,26,22,40,21,20,1,2
LB,Black Bear,25,2012,74,68,75,79,75,72,19.9,4
LB,Mathew Domino,28,2009,55,60,44,32,48,38,6.9,2
LB,Simon Juda,24,2014,47,61,66,41,30,28,3.1,1
LB,Ryan Bethiferd,23,2015,31,27,56,55,48,43,2.1,1
LB,Piddly Miss,25,2012,37,45,60,56,41,44,3,2
LB,Jafar Titan,28,2009,45,32,28,27,42,38,1.1,2
END_PLAYERS
######################################################################  Flames
Fredrick Demoose HS Flames,FDF
QB,Dex Cudi,26,2012,58,50,61,49,47,62,9,4
QB,Paul Thrint,31,2009,57,48,57,50,37,58,5,3
RB,Akin Job,28,2011,62,44,51,50,66,64,6.8,2
RB,Samuel Dice,34,2004,51,54,48,49,60,59,2.6,1
RB,Krion Zath,26,2013,60,50,44,37,52,63,5.9,3
RB,Moses Dacker,22,2015,55,40,50,41,42,61,2.4,2
WR,Micheal Orange,28,2009,49,40,57,41,53,47,6.1,3
WR,Macolly Mith,25,2013,50,39,60,40,37,50,6.6,3
WR,Homer Dan,22,2015,49,50,32,37,41,44,3.8,2
WR,Hal Kish,25,2013,47,39,50,44,49,38,4.9,3
WR,Malcom Das,26,2012,49,30,27,44,52,2.7,2
WR,Martin Krayon,23,2014,48,41,37,60,44,58,3.1,3
OL,Patrick Ward,31,2008,59,47,48,50,63,51,5.3,2
OL,Semer Shaun,33,2005,41,50,43,42,59,48,3.9,1
OL,Dan MacLion,26,2011,57,39,48,50,51,44,4.9,2
OL,Lance Frog,32,2005,50,44,27,40,41,37,2.6,1
OL,Lab Christen,23,2014,48,40,37,69,32,40,8,4
OL,Deshawn Penny,25,2012,47,28,50,38,41,38,8.2,5
OL,Handle Path,27,2010,40,46,48,50,37,36,3,3
OL,Ferdinan Cream,26,2011,50,41,44,29,30,40,2.1,3
OL,Redan Pass,25,2012,39,44,50,20,39,40,1.4,2
OL,Julio Gile,24,2013,50,40,31,40,29,30,1.8,3
K,Boberd Puma,22,2015,77,56,48,55,39,59,40,19.8,6
K,Mason Crobey,23,2014,60,58,40,29,49,37,1.9,1
S,Deon Rant,32,2007,58,68,69,60,73,70,3.2,1
S,Randle Lish,26,2011,48,61,48,67,45,60,7.9,3
CB,Isaac Mint,27,2010,49,52,39,50,47,52,50,5.4,2
CB,Gabriel Quote,28,2009,52,38,50,48,52,50,4.2,2
CB,Berry Phython,25,2013,48,39,41,44,50,3.1,2
CB,Barney Kush,22,2015,52,30,28,44,48,39,2.5,2
CB,Jason Road,23,2014,40,50,22,33,41,50,2,2
CB,Wilker Dacey,24,2013,47,31,28,30,27,40,1,1
DL,Dot Spread,26,2011,60,49,59,10,51,49,5.7,3
DL,Kim Big,28,2010,63,50,38,41,56,37,4.3,2
DL,Dominique Bowie,26,2012,48,56,44,58,97,39,2.1,1
DL,Clamery Tyson,29,2008,55,48,58,37,28,91,3.9,2
DL,Jacob Abram,23,2014,48,37,49,50,28,31,3.4,2
DL,Ramsee Club,34,2007,47,41,29,40,28,30,2.5,1
DL,Zues Pile,33,2008,44,29,38,28,40,33,2.1,2
DL,Hashe Oshae,30,2009,40,50,27,30,21,24,1,1
LB,Arnold Deadly,28,2010,49,36,50,31,46,50,3.9,2
LB,Hide Momma,28,2010,44,30,44,41,90,50,2,1
LB,Hola Lilo,24,2013,40,46,37,38,40,48,3.4,2
LB,Cris Planet,26,2010,29,30,50,19,60,21,4.8,3
LB,Zap Green,30,2008,38,48,29,40,20,21,1.8,2
LB,Hairy Pland,27,2010,37,28,40,29,19,33,1,1
END_PLAYERS
######################################################################  Sharks
Oprah Winfrey HS Sharks,OWS 
QB,Jordan Dro,26,2013,66,68,53,66,67,51,4.9,2
QB,Tarris Sabastian,31,2009,63,54,58,55,60,61,2.7,2
QB,Yelden Carmello,27,2011,61,58,54,61,58,55,2.9,2
RB,Aqua Ath,34,2006,60,53,51,50,55,62,3.4,1
RB,Corenthean Book,28,2011,58,57,60,49,58,59,2.8,1
RB,Zachary Coldren,28,2010,60,48,44,55,56,63,3.9,2
RB,Randy Ishmale,28,2008,58,41,37,60,53,64,1.2,1
RB,Isaiah Passion,25,2012,53,51,47,41,52,68,2.6,3
WR,Shane Misson,31,2007,58,64,71,48,63,51,2.3,1
WR,Dick Bond,22,2015,46,63,70,39,61,47,4.3,2
WR,McGee Plus,21,2015,39,59,61,41,60,44,2.9,2
WR,Patrick Fent,28,2011,48,60,60,37,62,50,3.3,3
WR,Reed Bishop,26,2014,44,58,63,33,64,2.7,3
WR,Terrence Bains,31,2008,43,55,64,31,60,41,2.8,2
OL,Bash Alex,26,2013,70,68,66,77,64,73,6.7,2
OL,Kobe Xiandra,32,2006,65,72,64,70,61,68,3.4,1
OL,Blinthin Kiba,22,2015,63,64,58,72,58,66,8.6,4
OL,Ricky Saiyan,33,2006,68,59,63,68,62,64,2.8,1
OL,A.J Eont,31,2005,65,62,65,69,55,63,4.2,2
OL,Dale Life,30,2007,68,61,59,70,61,65,3.1,2
OL,Bobby Thax,23,2015,60,59,61,66,63,60,1.2,1
OL,Allen Henry,28 2012,67,60,54,58,58,51,1,1
OL,Jorge Gestro,22,2015,61,58,60,60,40,50,3,4
OL,Elloy Bryan,25,2013,64,63,64,56,60,48,51,1,2
OL,Montey Tyrease,25,2012,60,48,59,54,50,59,1,3
K,Larry Aken,24,2014,70,58,65,75,59,69,3,3
K,Joshua Gains,23,2014,69,66,49,58,57,68,1,2
S,Keenin Al,23,2014,40,68,50,40,52,50,3.5,2
S,Russel Garcia,27,2011,42,59,53,41,40,6,4
CB,Pity Pallie,30 2006,44,60,43,48,42,40,6,4
CB,Jimmy Roll,26,2012,56,50,41,39,41,37,6,4
CB,Spider Mellow,32,2005,42,39,50,47,53,38,6,4
CB,Suge Alison,28,2009,41,39,93,50,38,41,3,2
CB,David Anthony,32,2007,50,41,33,37,49,64,3,2
CB,Joey Ash,26,2011,57,60,31,43,41,58,3,2
DL,Gerald Kash,28,2010,50,61,40,38,41,37,3,2
DL,Henry Arnold,23,2014,51,47,37,41,37,40,3,2
DL,Mac Ken,30,2008,44,37,41,38,32,29,3,2
DL,Spud Blur,26,2010,41,34,48,47,50,20,3,2
DL,Seth Mash,24,2013,38,29,46,44,48,41,3,1
DL,Kel Facine,28,2010,29,38,48,28,33,25,3,2
DL,Fizz Bradly,31,2008,29,31,19,20,33,21,3,2
DL,French Pale,28,2011,20,31,33,23,27,18,3,2
LB,Ray Hanson,29,2009,65,41,33,36,60,65,3,2
LB,Earl Tent,32,2006,54,48,39,41,37,54,3,2
LB,Olderson,Manuel,33,2004,41,44,39,32,28,30,3,2
LB,Brock Canwierd,26,2012,29,30,27,38,29,56,6,4
LB,Decan White,28,2011,40,20,30,18,25,15,6,4
LB,Elias Jorge,22,2015,26,17,33,27,28,10,6,4
END_PLAYERS
######################################################################  Doves
Mia Angelo Doves,MAD
QB,Bradly Enter,26,2012,65,61,60,59,58,56,8.7,3
QB,Aunk Pash,23,2014,61,53,48,44,39,60,6,2
QB,Cole Jordan,23,2014,57,43,31,29,44,21,2.9,1
RB,Pat Gold,24,2012,60,57,43,43,59,58,6,3
RB,Mass Deion,26,2011,55,43,54,49,56,60,3,2
RB,Daryl Culical,22,2015,60,41,39,51,44,51,3,3
RB,Pal Bailey,32,2006,52,48,55,49,60,30,1,2
WR,Popoya Sinthan,23,2015,45,51,56,45,51,60,9,3 
WR,Cosmo Garrison,27,2011,66,39,40,28,52,39,6.5,2
WR,Zacharia Chimishion,25,2013,51,46,48,39,40,38,3,1
WR,Billy Willard,24,2013,49,60,28,33,28,41,6,3
WR,Three Winsly,28,2010,51,50,63,41,40,59,3,2
WR,Cassidy Anthister,32,2005,60,39,41,50,39,40,3,2
OL,Ron Deport,26,2012,61,51,58,75,68,68,14,4
OL,Marshall Douglas,28,2009,70,59,62,71,65,60,9,2
OL,Jerrard Tint,32,2006,69,58,71,64,60,59,4,1
OL,Felix Cabral,31,2007,71,55,69,70,65,61,9.9,3
OL,Hashee Pinicle,24,2014,69,65,61,72,65,65,7,2
OL,Kyle Six,28,2010,66,72,60,51,60,49,6,2
OL,Arthur Six,25,2014,60,51,49,63,62,70,4.9,2
OL,Bash Snail,26,2011,68,71,55,73,54,63,8,3
OL,Garfield Flowers,23,2014,67,54,59,67,73,69,3.8,1
OL,Logan Yem,24,2014,58,60,73,69,74,61,6.5,2
OL,Han Perry,32,2005,59,66,70,61,73,60,3,1
K,Clark Fancy,25,2010,50,41,43,62,46,51,1,1
K,Nard Shawn,33,2005,98,39,50,60,39,47,3,4
K,Jason Flank,21,2015,60,31,29,41,28,43,1,2
S,Kail Dew,29,2009,80,75,62,75,81,69,5,1
S,Kelsey Bray,25,2012,69,72,80,61,70,67,8,2
CB,Joel Marry,22,2015,69,70,68,58,61,66,3.9,1
CB,Dwayne Cobsey,33,2006,81,75,76,80,70,72,7,2
CB,Philip Willie,30,2007,77,69,81,71,68,71,3,1
CB,Kaleb Embro,28,2010,71,70,69,67,74,66,4.8,2
CB,Polo Instinct,36,2002,65,73,58,70,69,65,4,2
CB,Bruce Shine,28,2009,75,66,58,69,63,71,6,3
CB,Abbey John,25,2007,70,64,59,64,67,68,3,2
DL,Cartright Shaggy,22,2015,74,81,69,73,82,92,15,5
DL,Alejandro Cash,28,2010,88,78,79,89,88,90,4.3,1
DL,Marcus Car,32,2006,29,70,68,80,71,74,4,1
DL,Deondre Share,27,2011,73,69,77,65,70,74,3,2
DL,Joseph Rodolph,23,2014,79,70,73,70,69,74,6,3
DL,George Bomb,29,2007,83,74,79,83,61,60,4,2
DL,Christopher Emily,31,2005,74,68,72,64,70,80,4,2
DL,Gilbert Tannington,30,2006,66,74,79,82,77,63,3,2
LB,Lawrence Gress,22,2015,79,79,85,80,73,83,9.6,4
LB,Freg Bras,28,2010,80,74,82,83,77,80,7,2
LB,Garry North,34,2005,73,81,79,80,77,84,3,2
LB,Naush Wood,28,2009,79,86,70,64,73,75,3,2
LB,Stien Kyle,25,2012,76,84,79,84,70,72,4,2
LB,Buda Ernesto,22,2015,79,83,70,65,72,74,3,2
END_PLAYERS
######################################################################  Swans
Georgina Driving HS Swans,GDS
QB,Carter King,25,2012,70,74,65,70,76,62,5,2
QB,Shaquell Daniel,31,2007,65,64,76,68,74,70,3,2
QB,Vince Iishia,23,2015,79,43,59,68,70,68,2.8,2
RB,Vladimere Olgul,24,2013,60,64,59,73,68,74,5.7,2
RB,Nouse Vasash,26,2011,65,63,70,54,58,69,6.9,3
RB,Star Vrant,32,2005,62,70,53,60,54,61,3.6,2
RB,Chime Pentagrew,25,2013,59,60,52,63,54,61,2,2
WR,Fint Moore,27,2010,70,50,65,69,71,62,4.5,2
WR,Ricardo Sis,25,2013,73,69,58,49,58,79,6.8,3
WR,Sosa Hive,33,2004,51,63,70,55,62,64,6,3
WR,Kenny Natty,31,2006,65,53,59,63,54,68,2.7,2
WR,Jared Gun,29,2009,60,59,71,66,54,53,2.3,2
WR,Mick Nater,28,2011,64,71,69,70,53,47,1,2
WR,Gasper Oliver,23,2015,60,57,63,66,59,61,1.8,3
OL,Leonardo Brisco,26,2012,69,67,74,68,75,70,13.9,4
OL,Zath Santana,22,2015,70,65,73,62,64,76,6.7,2
OL,Sammy Nina,28,2011,67,69,74,75,68,71,3.2,1
OL,Angel Yada,24,2014,73,67,64,78,66,64,2,1
OL,Alec Nicholas,27,2009,72,65,63,71,64,61,1.5,1
OL,Mark Luke,23,2014,70,62,70,64,73,58,3,3
OL,Yeter Warner,27,2011,70,68,64,71,65,61,2,3
OL,Jerick Mathews,28,2009,69,59,66,71,69,74,63,1,2
OL,Marius Poosh,23,2014,69,77,64,51,49,68,2,3
OL,Marlon Titanium,24,2013,58,62,54,51,46,38,1,3
K,Chard Gomez,27,2011,80,75,62,79,76,55,3,2
K,Diam Micheals,28,2011,71,68,73,59,62,70,2.8,3
S,Marco Ant,29,2010,70,58,69,54,68,64,5,2
S,Champ Carper,31,2006,59,63,72,66,53,78,6.9,3
CB,Sir Def,33,2004,63,61,70,71,62,68,1.9,1
CB,Garland Pach,34,2003,60,59,66,71,64,62,4,3
CB,Kai Hun,30,2008,63,66,71,64,58,66,2.3,1
CB,Trander Oshers,34,2004,61,65,73,60,51,49,3,2
CB,Sergio Jish,27,2009,60,58,30,71,41,30,1.8,2
CB,Gibson Zaper,21,2015,50,39,48,34,52,45,1,2
DL,Dant Kish,28,2010,61,54,63,59,75,70,3.6,1
DL,Duck Zoron,30,2009,58,51,49,62,68,60,4.9,2
DL,Jason Tif,26,2011,59,60,65,70,73,69,4,2
DL,Micheal Butler,26,2012,60,57,61,53,58,69,5.7,3
DL,Aldern Asparagus,28,2011,60,51,60,54,56,70,4.3,2
DL,Julian Larry,23,2014,54,61,68,55,60,64,2.9,1
DL,Arnold Laser,21,2015,39,55,66,33,60,61,1.7,1
DL,Avion Future,25,2013,49,60,63,58,50,60,5.8,6
LB,Taylor Risk,26,2011,61,60,48,54,59,60,3,1
LB,Lavion Massakist,23,2014,58,44,37,48,53,58,12.7,5
LB,Tyrell Lamar,32,2005,57,55,50,96,60,60,2,1
LB,Jill James,31,2007,59,48,41,44,60,55,1.6,1
LB,Tarvis Asford,28,2011,51,43,34,38,51,58,1,1
LB,Crack Samsung,32,2007,48,60,24,41,29,60,1,1
LB,Bandio Athin,34,2006,30,40,30,20,53,54,1,1
END_PLAYERS
######################################################################  Ducks
Poddington Memorial HS Ducks,PMD
QB,Cheeta Gich,26,2011,67,62,65,64,54,67,3,2
QB,Caleb Cote,23,2014,60,65,61,59,53,62,3,2
RB,Douge Smith,25,2012,57,61,56,60,64,64,3,2
RB,Shawn Tilt,33,2009,48,50,52,64,63,63,3,2
RB,Jason Cartrite,22,2015,56,57,58,61,60,62,3,2
RB,Donvan Swip,25,2013,55,60,54,63,65,61,3,2
WR,Brock Nissan,23,2015,60,67,58,65,57,54,3,2
WR,Jamal Yolland,32,2006,58,64,62,63,49,45,4,3
WR,Colbert Jale,29,2009,65,62,54,62,48,48,3,2
WR,Phillip Rupe,34,2007,62,66,53,68,52,47,1,1
WR,Carl Robert,29,2009,67,59,47,63,47,39,2,2
WR,Micheal Lish,31,2008,61,54,46,62,52,41,3,4
OL,Vincente Tash,33,2006,72,63,71,75,78,62,5,2
OL,Avery With,28,2010,77,67,68,76,75,67,3,2
OL,Bobby Chad,31,2008,70,62,67,74,77,60,4,3
OL,Kasey  Richard,27,2011,67,61,70,73,72,54,3,2
OL,Bill Lisket,29,2011,62,60,70,72,71,52,4,3
OL,Willie Mishet,28,2009,67,57,63,69,67,62,3,2
OL,Justin Carp,22,2015,64,57,62,65,64,67,3,2
OL,Rueben Fuent,29,2009,62,47,68,64,62,59,3,2
OL,Christian Swishep,32,2006,60,42,66,62,61,52,2,1
OL,Leonardo David,28,2009,73,41,64,61,62,37,3,2
OL,Todd Choch,33,2006,77,47,37,57,59,62,3,2
K,Tich Fatchek,25,2013,72,73,51,72,52,55,57,3,2
K,Isaac Miff,26,2012,70,64,47,68,60,55,3,2
S,Donald Trit,25,2012,64,71,76,62,79,80,4,3
S,Donald Go,24,2013,71,68,59,66,70,75,5,4
S,Tony Carter,26,2011,65,63,59,67,58,55,3,2
CB,Patrick Leash,28,2009,58,60,55,54,55,63,4,2
CB,Marcus Paff,24,2015,56,49,60,56,53,60,6,4
CB,Brandon Kyle,33,2009,61,54,56,60,48,49,3,2
CB,Red Yawns,25,2012,55,60,39,58,41,60,2,1
